	LogPcg	LogPcw	LogKow	LogB 
pentane	2.36	4.06	3.39	4.22
hexane	2.87	4.69	4	4.38
2-methylpentane	2.71	4.55	-999	-999
heptane	3.39	5.35	4.5	5.73
octane	3.9	6.01	5.15	6.41
24dimethylpentane	3.04	5.12	-999	-999
25dimethylhexane	3.56	5.58	-999	-999
234trimethylpentane	3.63	5.51	-999	-999
nonane	4.42	6.57	5.65	7.01
cyclohexane	3.26	4.16	3.44	3.55
ethylcyclohexane	3.99	5.57	-999	3.55
ch3cl	1.82	1.42	0.91	4.66
ch2cl2	2.69	2	1.25	2.29
chcl3	3.07	2.28	1.94	2.8
ccl4	3.25	3.31	2.83	3.44
11dichloroethane	3.01	2.39	1.79	-999
12dichloroethane	3.44	2.13	1.48	-999
112trichloroethane	3.87	2.41	-999	-999
111trichloroethane	3.24	3.1	2.49	-999
1chloropropane	2.65	2.46	2.04	-999
bromoethane	2.76	2.24	1.61	-999
ch3i	2.78	2.13	1.51	-999
112trifluorotrichloroethane	2.54	3.84	-999	-999
diethylether	3.05	1.88	0.89	-999
diisopropylether	3.62	2.58	2.03	-999
methyltretbuthylether	3.58	1.99	0.94	-999
thf	3.86	1.31	0.46	-999
thp	4.28	1.99	0.82	-999
dioxane	4.44	0.73	-0.27	1.74
propanone	3.29	0.5	-0.24	-999
butanone	3.87	1.15	0.29	2.11
propylenecarbonat	5.56	0.6	-999	-999
ethylformiate	3.2	1.24	-999	-999
methylacetate	3.46	1.16	0.18	2.67
ethylacetate	3.98	1.82	0.73	2.72
propylacetate	4.61	2.56	1.24	2.78
buthylacetate	4.99	3.05	1.82	-999
penthylacetate	5.44	3.6	-999	-999
methylpropanoate	4.02	1.87	-999	-999
methylpentanoate	4.89	3.01	1.96	-999
methylhexanoate	5.31	3.48	-999	-999
ethylacetoacetate	5.79	1.49	0.24	-999
ethyltrifluoroacetate	3.04	2	-999	-999
ethyltrichloroacetate	5.23	3.47	-999	-999
acetonitrile	3.25	0.4	-0.34	-999
methylamine	2.32	-1.02	-0.57	-999
ethylamine	2.95	-0.35	-0.13	-999
propylamine	3.47	0.25	0.48	-999
buthylamine	3.86	0.75	0.81	-999
dimethylamine	2.71	-0.44	-0.38	-999
diethylamine	3.78	0.79	0.58	-999
diisopropylamine	3.97	1.61	-999	-999
trimethylamine	2.86	0.51	0.16	-999
triethylamine	4.22	1.86	1.44	-999
nitromethane	3.39	0.44	-0.35	-999
acetamide	5.57	-1.97	-1.26	-999
propionamide	5.48	-1.4	-999	2.24
nndimethylacetamide	5.91	-0.13	-0.77	-999
trichloroacetamide	5.07	0.31	1.04	-999
ethylcarbamate	5.67	0.12	-0.15	-999
formic	3.21	-2.12	-0.54	-999
acetic	3.45	-1.46	-0.17	-999
propanoic	3.68	-0.86	0.33	-999
butanoic	4.39	-0.27	0.79	-999
2methylpropanoic	4.25	-0.26	-999	-999
pentanoic	4.84	0.32	1.39	-999
hexanoic	5.58	1.02	1.92	-999
octanoic	6.61	2.17	3.05	-999
3methylbutanoic	4.66	0.19	1.16	-999
2methylpentanoic	5.12	0.9	1.8	-999
chloroacetic	4.91	-1.51	0.22	-999
succinic	7.31	-1.92	-0.59	-999
ethanol	2.8	-0.87	-0.31	1.71
methanol	2.41	-1.33	-0.77	1.27
2propanol	3.13	-0.35	0.05	1.89
1propanol	3.26	-0.3	0.25	2.04
1butanol	3.88	0.42	0.88	2.44
2methyl1propanol	3.64	0.34	0.76	2.53
2butanol	3.69	0.3	0.65	2.41
2methyl2propanol	3.26	-0.02	0.35	-999
pentanol	4.4	1.05	1.56	2.91
hexanol	4.92	1.69	2.03	3.39
heptanol	5.5	2.41	2.62	3.74
2methyl2butanol	3.74	0.49	-999	-999
2methyl1pentanol	4.73	1.56	-999	-999
3methyl1pentanol	4.85	1.62	-999	-999
2methyl2pentanol	4.17	1.29	-999	-999
3methyl2pentanol	4.76	1.51	-999	-999
4methyl1pentanol	4.84	1.77	-999	3.39
2methyl3pentanol	4.64	1.26	-999	3.26
4methyl2pentanol	4.31	1.57	-999	3.35
23dimethyl2butanol	4.48	1.22	-999	-999
33dimethyl1butanol	4.79	1.41	-999	-999
3methyl3hexanol	5.01	1.83	-999	-999
2methyl3hexanol	5.15	1.91	-999	-999
3methyl2hexanol	5.2	2.33	-999	-999
2methyl2hexanol	4.91	1.85	-999	-999
3ethyl3pentanol	5.18	2	-999	-999
44dimethyl2pentanol	5.17	2.18	-999	-999
23dimethyl3pentanol	5.03	1.91	-999	-999
22dimethyl3pentanol	4.88	2.47	-999	-999
cyclohexanol	5.13	1.12	1.23	-999
2propen1ol	3.18	-0.51	0.17	-999
2chloroethanol	4.2	-0.4	0.03	-999
3chloropropanol	4.28	-0.03	-999	-999
13propanediol	5.13	-2.9	-1.04	1.45
2ethoxyethanol	4.59	-0.32	-0.1	1.74
dmso	6.43	-0.98	-1.35	-999
thiourea	5.31	-3.14	-1.14	-999
tributhylphosphineoxide	11.21	3.08	-999	3.75
trimethylphosphate	6.97	0.76	-0.52	-999
triethylphosphate	7.81	2.28	-999	-999
tripropylphosphate	9.26	3.67	-999	-999
benzene	3.39	2.76	2.15	2.95
toluene	4.06	3.41	2.73	3.45
ethylbenzene	4.28	3.7	3.15	3.98
12dimethylbenzene	4.57	3.91	3.12	-999
13dimethylbenzene	4.29	3.68	3.2	-999
biphenyl	6.62	4.67	4.17	4.83
naphtalene	5.78	4.05	3.45	4.19
acenaphtalene	7.21	4.85	3.92	-999
antracene	8.4	5.37	4.5	5.57
pyrene	9.64	6.14	4.88	5.91
fluoranthene	9.56	6.12	5.2	-999
fluorobenzene	3.44	2.85	2.27	3.4
chlorobenzene	4.22	3.4	2.84	3.64
bromobenzene	4.7	3.63	2.99	4.04
iodobenzene	4.85	3.57	3.25	4.27
14dichlorobenzene	4.63	3.89	3.39	4.6
13dichlorobenzene	4.59	3.87	3.38	4.46
2chloronaphtalene	6.62	4.56	3.98	-999
anisole	4.92	3.12	2.1	3.2
ethylphenylether	4.25	3.62	2.51	-999
benzaldehyde	5.2	2.25	1.48	2.64
2methoxybenzaldehyde	6.93	2.53	-999	-999
phenylacetaldehyde	5.32	2.07	1.78	-999
acetophenone	6.15	2.79	1.68	3.34
fluorenone	8.15	3.95	3.58	-999
methylbenzoate	5.68	2.8	2.23	-999
phenylacetate	6.24	2.33	1.49	-999
dimethylphtalate	8.68	3.09	-999	-999
diethylphtalate	9.4	3.69	-999	-999
benznitrile	5.75	2.66	1.56	2.8
phenylacetonitrile	5.95	2.25	1.56	-999
13dicyanobenzene	7.64	2.12	-999	-999
12dicyanobenzene	8.2	2.6	-999	-999
14dicyanobenzene	8.3	2.6	-999	-999
aniline	5.65	1.35	0.98	2.92
2methylaniline	6.02	1.96	1.32	-999
4methylaniline	6.04	1.95	1.39	3.04
4ethylaniline	6.28	2.28	1.96	-999
4propylaniline	6.97	2.99	2.4	-999
4isopropylaniline	6.71	2.51	2.34	-999
4butylaniline	7.22	3.37	-999	-999
4chloroaniline	6.42	2.09	1.83	-999
4nitroaniline	8.8	1.26	1.39	-999
3nitroaniline	8.09	1.6	1.37	-999
2nitroaniline	7.24	1.83	1.79	-999
3aminoacetophenone	8.13	1.73	-999	-999
4aminoacetophenone	8.14	2.13	0.41	-999
24dimethylaniline	6.5	2.27	1.68	-999
nmethylaniline	5.84	2.4	1.66	-999
nndimethylaniline	6.01	3.48	2.31	-999
nndiethylaniline	6.64	2.26	3.31	-999
1naphtylamine	7.94	2.6	2.22	-999
2naphtylamine	8.18	2.7	2.28	-999
4aminobiphenyl	9.11	3.14	2.86	-999
benzylamine	5.83	1.18	1.09	-999
1amino2phenylethane	7.06	1.37	1.41	-999
nitrobenzene	5.71	2.69	-0.35	2.98
2nitrotoluene	6.02	3.39	2.3	-999
3nitrotoluene	5.98	3.45	2.4	-999
4nitrotoluene	6.16	3.31	2.42	-999
4nitroanisole	7.23	3.18	2.03	-999
12dinitrobenzene	7.74	2.64	1.58	-999
13dinitrobenzene	7.82	2.63	1.49	-999
14dinitrobenzene	7.79	2.62	1.49	-999
